"Media","Strain","Biofilm","Rep"
"PD3","B3SN17-2",0.157,1
"PD3","IVIA53.87",0.043,1
"PD3","IVIA5901",0.276,1
"PD3","ESVL",0.425,1
"PD3","XF3348",0.573,1
"PD3","ALS6",0.385,1
"PD3","ALS17T10",0.868,1
"PD3","ALS10T14",0.626,1
"PD3","Dixon",1.953,1
"PD3","M12",0.53,1
"PD3","M23",0.067,1
"PD3","B3SN17-2",0.286,1
"PD3","IVIA53.87",0.037,1
"PD3","IVIA5901",0.284,1
"PD3","ESVL",0.542,1
"PD3","XF3348",0.581,1
"PD3","ALS6",0.314,1
"PD3","ALS17T10",0.667,1
"PD3","ALS10T14",0.538,1
"PD3","Dixon",2.148,1
"PD3","M12",0.595,1
"PD3","M23",0.063,1
"PD3","B3SN17-2",0.158,1
"PD3","IVIA53.87",0.029,1
"PD3","IVIA5901",0.49,1
"PD3","ESVL",0.501,1
"PD3","XF3348",0.51,1
"PD3","ALS6",0.261,1
"PD3","ALS17T10",0.765,1
"PD3","ALS10T14",0.475,1
"PD3","Dixon",1.911,1
"PD3","M12",0.595,1
"PD3","M23",0.049,1
"PD3","B3SN17-2",0.297,1
"PD3","IVIA53.87",0.025,1
"PD3","IVIA5901",0.4,1
"PD3","ESVL",0.57,1
"PD3","XF3348",0.455,1
"PD3","ALS6",0.325,1
"PD3","ALS17T10",1.049,1
"PD3","ALS10T14",0.539,1
"PD3","Dixon",1.831,1
"PD3","M12",0.573,1
"PD3","M23",0.043,1
"PD3","B3SN17-2",0.175,1
"PD3","IVIA53.87",0.037,1
"PD3","IVIA5901",0.306,1
"PD3","ESVL",0.463,1
"PD3","XF3348",0.758,1
"PD3","ALS6",0.367,1
"PD3","ALS17T10",1.045,1
"PD3","ALS10T14",0.666,1
"PD3","Dixon",2.016,1
"PD3","M12",0.608,1
"PD3","M23",0.131,1
"PD3","B3SN17-2",0.152,1
"PD3","IVIA53.87",0.024,1
"PD3","IVIA5901",0.388,1
"PD3","ESVL",0.464,1
"PD3","XF3348",0.374,1
"PD3","ALS6",0.345,1
"PD3","ALS17T10",0.88,1
"PD3","ALS10T14",0.446,1
"PD3","Dixon",1.893,1
"PD3","M12",0.57,1
"PD3","M23",0.05,1
"PD3","B3SN17-2",0.17,2
"PD3","IVIA53.87",0.035,2
"PD3","IVIA5901",0.241,2
"PD3","ESVL",0.483,2
"PD3","XF3348",0.766,2
"PD3","ALS6",0.289,2
"PD3","ALS17T10",1.067,2
"PD3","ALS10T14",0.389,2
"PD3","Dixon",2.068,2
"PD3","M12",0.541,2
"PD3","M23",0.042,2
"PD3","B3SN17-2",0.205,2
"PD3","IVIA53.87",0.048,2
"PD3","IVIA5901",0.236,2
"PD3","ESVL",0.447,2
"PD3","XF3348",0.938,2
"PD3","ALS6",0.298,2
"PD3","ALS17T10",0.805,2
"PD3","ALS10T14",0.384,2
"PD3","Dixon",2.247,2
"PD3","M12",0.55,2
"PD3","M23",0.059,2
"PD3","B3SN17-2",0.181,2
"PD3","IVIA53.87",0.044,2
"PD3","IVIA5901",0.265,2
"PD3","ESVL",0.466,2
"PD3","XF3348",0.874,2
"PD3","ALS6",0.272,2
"PD3","ALS17T10",1.072,2
"PD3","ALS10T14",0.643,2
"PD3","Dixon",1.972,2
"PD3","M12",0.548,2
"PD3","M23",0.063,2
"PD3","B3SN17-2",0.199,2
"PD3","IVIA53.87",0.049,2
"PD3","IVIA5901",0.249,2
"PD3","ESVL",0.471,2
"PD3","XF3348",0.844,2
"PD3","ALS6",0.483,2
"PD3","ALS17T10",0.692,2
"PD3","ALS10T14",0.54,2
"PD3","Dixon",2.181,2
"PD3","M12",0.685,2
"PD3","M23",0.064,2
"PD3","B3SN17-2",0.285,2
"PD3","IVIA53.87",0.051,2
"PD3","IVIA5901",0.268,2
"PD3","ESVL",0.502,2
"PD3","XF3348",0.727,2
"PD3","ALS6",0.428,2
"PD3","ALS17T10",0.859,2
"PD3","ALS10T14",0.476,2
"PD3","Dixon",2.12,2
"PD3","M12",0.568,2
"PD3","M23",0.071,2
"PD3","B3SN17-2",0.178,2
"PD3","IVIA53.87",0.052,2
"PD3","IVIA5901",0.268,2
"PD3","ESVL",0.548,2
"PD3","XF3348",0.483,2
"PD3","ALS6",0.497,2
"PD3","ALS17T10",1.069,2
"PD3","ALS10T14",0.381,2
"PD3","Dixon",2.168,2
"PD3","M12",0.559,2
"PD3","M23",0.058,2
"25SAP","B3SN17-2",1.353,1
"25SAP","IVIA53.87",0.025,1
"25SAP","IVIA5901",0.345,1
"25SAP","ESVL",0.095,1
"25SAP","XF3348",0.54,1
"25SAP","ALS6",0.059,1
"25SAP","ALS17T10",3.503,1
"25SAP","ALS10T14",1.925,1
"25SAP","Dixon",1.585,1
"25SAP","M12",0.162,1
"25SAP","M23",0.119,1
"25SAP","B3SN17-2",1.591,1
"25SAP","IVIA53.87",0.033,1
"25SAP","IVIA5901",0.333,1
"25SAP","ESVL",0.105,1
"25SAP","XF3348",0.651,1
"25SAP","ALS6",0.081,1
"25SAP","ALS17T10",3.313,1
"25SAP","ALS10T14",1.614,1
"25SAP","Dixon",1.649,1
"25SAP","M12",0.196,1
"25SAP","M23",0.103,1
"25SAP","B3SN17-2",1.411,1
"25SAP","IVIA53.87",0.028,1
"25SAP","IVIA5901",0.333,1
"25SAP","ESVL",0.081,1
"25SAP","XF3348",0.627,1
"25SAP","ALS6",0.054,1
"25SAP","ALS17T10",2.855,1
"25SAP","ALS10T14",1.522,1
"25SAP","Dixon",1.833,1
"25SAP","M12",0.178,1
"25SAP","M23",0.096,1
"25SAP","B3SN17-2",1.529,1
"25SAP","IVIA53.87",0.037,1
"25SAP","IVIA5901",0.315,1
"25SAP","ESVL",0.115,1
"25SAP","XF3348",0.55,1
"25SAP","ALS6",0.072,1
"25SAP","ALS17T10",3.074,1
"25SAP","ALS10T14",1.734,1
"25SAP","Dixon",1.853,1
"25SAP","M12",0.153,1
"25SAP","M23",0.121,1
"25SAP","B3SN17-2",1.523,1
"25SAP","IVIA53.87",0.03,1
"25SAP","IVIA5901",0.373,1
"25SAP","ESVL",0.098,1
"25SAP","XF3348",0.501,1
"25SAP","ALS6",0.083,1
"25SAP","ALS17T10",3.24,1
"25SAP","ALS10T14",1.955,1
"25SAP","Dixon",1.659,1
"25SAP","M12",0.146,1
"25SAP","M23",0.102,1
"25SAP","B3SN17-2",1.527,1
"25SAP","IVIA53.87",0.041,1
"25SAP","IVIA5901",0.313,1
"25SAP","ESVL",0.094,1
"25SAP","XF3348",0.634,1
"25SAP","ALS6",0.059,1
"25SAP","ALS17T10",3.294,1
"25SAP","ALS10T14",1.951,1
"25SAP","Dixon",1.699,1
"25SAP","M12",0.159,1
"25SAP","M23",0.076,1
"25SAP","B3SN17-2",1.362,2
"25SAP","IVIA53.87",0.035,2
"25SAP","IVIA5901",0.406,2
"25SAP","ESVL",0.104,2
"25SAP","XF3348",0.824,2
"25SAP","ALS6",0.048,2
"25SAP","ALS17T10",3.389,2
"25SAP","ALS10T14",2.706,2
"25SAP","Dixon",1.714,2
"25SAP","M12",0.179,2
"25SAP","M23",0.11,2
"25SAP","B3SN17-2",1.283,2
"25SAP","IVIA53.87",0.052,2
"25SAP","IVIA5901",0.4,2
"25SAP","ESVL",0.112,2
"25SAP","XF3348",0.656,2
"25SAP","ALS6",0.053,2
"25SAP","ALS17T10",3.797,2
"25SAP","ALS10T14",2.502,2
"25SAP","Dixon",1.593,2
"25SAP","M12",0.185,2
"25SAP","M23",0.111,2
"25SAP","B3SN17-2",1.342,2
"25SAP","IVIA53.87",0.063,2
"25SAP","IVIA5901",0.426,2
"25SAP","ESVL",0.107,2
"25SAP","XF3348",0.769,2
"25SAP","ALS6",0.055,2
"25SAP","ALS17T10",3.628,2
"25SAP","ALS10T14",2.365,2
"25SAP","Dixon",1.74,2
"25SAP","M12",0.187,2
"25SAP","M23",0.11,2
"25SAP","B3SN17-2",1.494,2
"25SAP","IVIA53.87",0.052,2
"25SAP","IVIA5901",0.43,2
"25SAP","ESVL",0.106,2
"25SAP","XF3348",0.465,2
"25SAP","ALS6",0.043,2
"25SAP","ALS17T10",3.384,2
