"Media","Strain","OD600","Rep","Day"
"PD3","B3SN17-2",0.003,1,"Data/RawData/Day0"
"PD3","IVIA53.87",0.003,1,"Data/RawData/Day0"
"PD3","IVIA5901",0.003,1,"Data/RawData/Day0"
"PD3","ESVL",0.005,1,"Data/RawData/Day0"
"PD3","XF3348",0.00900000000000001,1,"Data/RawData/Day0"
"PD3","ALS6",0.006,1,"Data/RawData/Day0"
"PD3","ALS17T10",0.005,1,"Data/RawData/Day0"
"PD3","ALS10T14",0,1,"Data/RawData/Day0"
"PD3","Dixon",0.003,1,"Data/RawData/Day0"
"PD3","M12",0.004,1,"Data/RawData/Day0"
"PD3","M23",0.005,1,"Data/RawData/Day0"
"PD3","B3SN17-2",0.003,1,"Data/RawData/Day0"
"PD3","IVIA53.87",0.004,1,"Data/RawData/Day0"
"PD3","IVIA5901",0.003,1,"Data/RawData/Day0"
"PD3","ESVL",0.005,1,"Data/RawData/Day0"
"PD3","XF3348",0.01,1,"Data/RawData/Day0"
"PD3","ALS6",0.004,1,"Data/RawData/Day0"
"PD3","ALS17T10",0.004,1,"Data/RawData/Day0"
"PD3","ALS10T14",0,1,"Data/RawData/Day0"
"PD3","Dixon",0.005,1,"Data/RawData/Day0"
"PD3","M12",0.003,1,"Data/RawData/Day0"
"PD3","M23",0.004,1,"Data/RawData/Day0"
"PD3","B3SN17-2",0.004,1,"Data/RawData/Day0"
"PD3","IVIA53.87",0.004,1,"Data/RawData/Day0"
"PD3","IVIA5901",0.003,1,"Data/RawData/Day0"
"PD3","ESVL",0.005,1,"Data/RawData/Day0"
"PD3","XF3348",0.00800000000000001,1,"Data/RawData/Day0"
"PD3","ALS6",0.004,1,"Data/RawData/Day0"
"PD3","ALS17T10",0.003,1,"Data/RawData/Day0"
"PD3","ALS10T14",0,1,"Data/RawData/Day0"
"PD3","Dixon",0.00900000000000001,1,"Data/RawData/Day0"
"PD3","M12",0.004,1,"Data/RawData/Day0"
"PD3","M23",0.004,1,"Data/RawData/Day0"
"PD3","B3SN17-2",0.004,1,"Data/RawData/Day0"
"PD3","IVIA53.87",0.005,1,"Data/RawData/Day0"
"PD3","IVIA5901",0.004,1,"Data/RawData/Day0"
"PD3","ESVL",0.005,1,"Data/RawData/Day0"
"PD3","XF3348",0.00900000000000001,1,"Data/RawData/Day0"
"PD3","ALS6",0.002,1,"Data/RawData/Day0"
"PD3","ALS17T10",0.002,1,"Data/RawData/Day0"
"PD3","ALS10T14",0,1,"Data/RawData/Day0"
"PD3","Dixon",0.004,1,"Data/RawData/Day0"
"PD3","M12",0.003,1,"Data/RawData/Day0"
"PD3","M23",0.005,1,"Data/RawData/Day0"
"PD3","B3SN17-2",0.003,1,"Data/RawData/Day0"
"PD3","IVIA53.87",0.005,1,"Data/RawData/Day0"
"PD3","IVIA5901",0.003,1,"Data/RawData/Day0"
"PD3","ESVL",0.005,1,"Data/RawData/Day0"
"PD3","XF3348",0.006,1,"Data/RawData/Day0"
"PD3","ALS6",0.003,1,"Data/RawData/Day0"
"PD3","ALS17T10",0.00700000000000001,1,"Data/RawData/Day0"
"PD3","ALS10T14",0,1,"Data/RawData/Day0"
"PD3","Dixon",0.002,1,"Data/RawData/Day0"
"PD3","M12",0.003,1,"Data/RawData/Day0"
"PD3","M23",0.003,1,"Data/RawData/Day0"
"PD3","B3SN17-2",0.002,1,"Data/RawData/Day0"
"PD3","IVIA53.87",0.003,1,"Data/RawData/Day0"
"PD3","IVIA5901",0.001,1,"Data/RawData/Day0"
"PD3","ESVL",0.004,1,"Data/RawData/Day0"
"PD3","XF3348",0.005,1,"Data/RawData/Day0"
"PD3","ALS6",0.003,1,"Data/RawData/Day0"
"PD3","ALS17T10",0.002,1,"Data/RawData/Day0"
"PD3","ALS10T14",0,1,"Data/RawData/Day0"
"PD3","Dixon",0.003,1,"Data/RawData/Day0"
"PD3","M12",0.001,1,"Data/RawData/Day0"
"PD3","M23",0.002,1,"Data/RawData/Day0"
"PD3","B3SN17-2",0.003,2,"Data/RawData/Day0"
"PD3","IVIA53.87",0.005,2,"Data/RawData/Day0"
"PD3","IVIA5901",0.003,2,"Data/RawData/Day0"
"PD3","ESVL",0.004,2,"Data/RawData/Day0"
"PD3","XF3348",0.00700000000000001,2,"Data/RawData/Day0"
"PD3","ALS6",0.00999999999999998,2,"Data/RawData/Day0"
"PD3","ALS17T10",0.004,2,"Data/RawData/Day0"
"PD3","ALS10T14",0.003,2,"Data/RawData/Day0"
"PD3","Dixon",0.004,2,"Data/RawData/Day0"
"PD3","M12",0.003,2,"Data/RawData/Day0"
"PD3","M23",0.004,2,"Data/RawData/Day0"
"PD3","B3SN17-2",0.002,2,"Data/RawData/Day0"
"PD3","IVIA53.87",0.006,2,"Data/RawData/Day0"
"PD3","IVIA5901",0.004,2,"Data/RawData/Day0"
"PD3","ESVL",0.005,2,"Data/RawData/Day0"
"PD3","XF3348",0.00900000000000001,2,"Data/RawData/Day0"
"PD3","ALS6",0.003,2,"Data/RawData/Day0"
"PD3","ALS17T10",0.003,2,"Data/RawData/Day0"
"PD3","ALS10T14",0.002,2,"Data/RawData/Day0"
"PD3","Dixon",0.004,2,"Data/RawData/Day0"
"PD3","M12",0.003,2,"Data/RawData/Day0"
"PD3","M23",0.005,2,"Data/RawData/Day0"
"PD3","B3SN17-2",0.002,2,"Data/RawData/Day0"
"PD3","IVIA53.87",0.005,2,"Data/RawData/Day0"
"PD3","IVIA5901",0.004,2,"Data/RawData/Day0"
"PD3","ESVL",0.004,2,"Data/RawData/Day0"
"PD3","XF3348",0.005,2,"Data/RawData/Day0"
"PD3","ALS6",0.003,2,"Data/RawData/Day0"
"PD3","ALS17T10",0.003,2,"Data/RawData/Day0"
"PD3","ALS10T14",0.002,2,"Data/RawData/Day0"
"PD3","Dixon",0.004,2,"Data/RawData/Day0"
"PD3","M12",0.004,2,"Data/RawData/Day0"
"PD3","M23",0.004,2,"Data/RawData/Day0"
"PD3","B3SN17-2",0.002,2,"Data/RawData/Day0"
"PD3","IVIA53.87",0.003,2,"Data/RawData/Day0"
"PD3","IVIA5901",0.002,2,"Data/RawData/Day0"
"PD3","ESVL",0.002,2,"Data/RawData/Day0"
"PD3","XF3348",0.00999999999999998,2,"Data/RawData/Day0"
"PD3","ALS6",0.035,2,"Data/RawData/Day0"
"PD3","ALS17T10",0.001,2,"Data/RawData/Day0"
"PD3","ALS10T14",0.001,2,"Data/RawData/Day0"
"PD3","Dixon",0.001,2,"Data/RawData/Day0"
